products	r
atrazine.kg	0
atrazine_brazil.kg	0
glyphosate.kg	0
insecticide.kg	0
insecticide_brazil.kg	0
cellulase.kg	0
alpha_amylase.kg	0
gluco_amylase.kg	0
lime.kg	0
caco3.kg	0
caco3_brazil.kg	0
h2so4.kg	66
hcl.kg	0
naoh.kg	8.16
csl.kg	0
dap.kg	0
glucose.kg	0
corn_starch.kg	0
molasses.kg	0
k2o.kg	0
k2o_brazil.kg	0
ammonia.kg	141
ammonia_brazil.kg	0
n.kg	5.12
urea.kg	0
urea_brazil.kg	0
sbm.kg	0
p2o5.kg	282
p.kg	0
yeast.kg	0
ddgs.kg	0
corn_oil.kg	0
glycerin.kg	0
nacl.kg	0
zeolite.kg	0
triethylaluminum.kg	0
char.MJ	0
coal.MJ	0
diesel.MJ	0.159
rfo.MJ	0.04
refgas.MJ	0
ethylene.MJ	0
propene.MJ	0
acetone.kg	0
crudeoil.MJ	0.075
petrobutanol.MJ	0
petrohexanol.MJ	0
electricity.US.kWh	0.0079
electricity.NG.kWh	0
electricity.NGCC.kWh	0
electricity.Coal.kWh	0
electricity.Lignin.kWh	0
electricity.Renewables.kWh	0
electricity.WECC.kWh	0.012
electricity.MRO.kWh	0.009750523
electricity.SPP.kWh	0.008
electricity.TRE.kWh	0.009
electricity.SERC.kWh	0.0067
electricity.RFC.kWh	0.007
electricity.NPCC.kWh	0.006
electricity.FRCC.kWh	0.006
gasoline.MJ	0
h2.kg	0
naturalgas.MJ	0
uranium.kg	0
farmedmiscanthus.kg	0
farmedstover.kg	0
farmedstraw.kg	0
farmedbrazilcane.kg	0
farmequip.NA	0
steel_domestic.kg	0
steel_canadian.kg	0
steel_chinese.kg	0
concrete.cu.m	0
cement.kg	0
flyash.kg	0
silica.kg	0
ligninpellets.MJ	0
flatbedtruck.mt_km	0
tankertruck.mt_km	0
gaspipeline.mt_km	0
liquidpipeline.mt_km	0
rail.mt_km	0
barge.mt_km	0
marinetanker.mt_km	0
heavytruck.china.mt_km	0
rail.china.mt_km	0
corn.bushel	0
butadiene.kg	0
corn_grain_ethanol.MJ	0
sugarcane_ethanol.MJ	0
corn_grain_ethanol_rolledup.MJ	0
sugarcane_ethanol_rolledup.MJ	0
corn_stover_ethanol_rolledup.MJ	0
butadiene_via_butane.kg	0
butane.MJ	0
process.water.m3	0
o2.kg	0
methanol.kg	0
ethylene_oxide.kg	0
lpg.kg	0
glyoxal.kg	0
bromine.kg	0
manganese.kg	0
trimethylamine.kg	0
manganese_sulfate.kg	0
1-methylimidazole.kg	0
1-bromoalkane.kg	0
ammo.chloride.kg	0
ethyl.acetate.kg	0
etoh.ethylene.kg	0
acetic.acid.kg	0
ammonium.sulfate.kg	0
citric.acid.kg	0
phosphoric.acid.kg	0
lysine.us.kg	0
lysine.china.kg	0
electricity.china.kWh	0
cholinium.hydroxide.kg	0
cholinium.lysinate.kg	0
corn.stover.kg	0
switchgrass.kg	0
ethylene.glycol.kg	0
methylamine.kg	0
n_butanol.kg	0
1_chloroethane.kg	0
t_butanol.kg	0
1_chlorobutane.kg	0
formaldehyde.kg	0
meim.kg	0
emimcl.kg	0
emimaco.kg	0
corn.stover.transportation.kg	0
switchgrass.transportation.kg	0
cs.ethanol.chly.production.kg	0
sg.ethanol.chly.production.kg	0
cs.ethanol.emimoac.production.kg	0
sg.ethanol.emimoac.production.kg	0
cs.ethanol.chly.distribution.kg	0
sg.ethanol.chly.distribution.kg	0
